food_name,category,unit,cal,carbs,protein,fat,sugar,sodium
갈비구이,육류,인분 (약 200g),560,12.0,38.0,39.0,8.0,890
갈비탕,국/탕/찌개,그릇 (약 600ml),420,15.0,32.0,25.0,2.0,1380
갈치구이,생선류,토막 (약 100g),250,0.5,22.0,17.0,0.0,420
감자탕,국/탕/찌개,그릇 (약 700ml),650,30.0,45.0,40.0,4.0,1900
계란국,국/탕/찌개,그릇 (약 350ml),70,3.0,6.0,4.0,1.0,550
계란말이,반찬류,접시 (약 120g),210,3.0,14.0,15.0,2.0,420
계란후라이,반찬류,개 (약 50g),90,0.6,6.3,6.8,0.4,140
고등어구이,생선류,토막 (약 120g),270,0.0,24.0,19.0,0.0,500
곱창구이,육류,인분 (약 180g),450,5.0,25.0,36.0,1.0,600
김밥,분식,줄 (약 250g),480,72.0,14.0,15.0,5.0,950
김치볶음밥,밥류,그릇 (약 350g),610,85.0,16.0,22.0,6.0,1200
김치전,분식/전,장 (약 130g),310,45.0,6.0,12.0,4.0,750
김치찌개,국/탕/찌개,그릇 (약 400ml),310,15.0,18.0,20.0,5.0,1650
닭갈비,육류,인분 (약 250g),480,25.0,35.0,26.0,10.0,1100
닭계장,국/탕/찌개,그릇 (약 400ml),340,16.0,28.0,18.0,4.0,1550
더덕구이,채소/나물,접시 (약 120g),130,20.0,3.0,4.5,6.0,450
동그랑땡,반찬류,접시 (약 150g),340,18.0,18.0,22.0,4.0,680
동태찌개,국/탕/찌개,그릇 (약 400ml),260,14.0,25.0,11.0,3.0,1450
된장찌개,국/탕/찌개,그릇 (약 400ml),150,14.0,10.0,6.5,3.0,1200
두부김치,안주/반찬,접시 (약 250g),380,20.0,22.0,24.0,6.0,950
떡갈비,육류,개 (약 100g),320,15.0,18.0,20.0,7.0,720
떡국_만두국,국 및 탕류,1그릇 (300g),267,47.46,8.61,4.86,0.06,849
떡볶이,분식,접시 (약 250g),480,105.0,8.0,4.0,20.0,980
라면,면류,그릇 (약 500ml),500,78.0,10.0,16.0,3.0,1700
라볶이,분식,접시 (약 300g),620,120.0,12.0,12.0,22.0,1350
무국,국/탕/찌개,그릇 (약 350ml),85,8.0,5.0,3.5,3.0,650
물냉면,면류,그릇 (약 600ml),450,88.0,12.0,5.0,8.0,1350
미역국,국/탕/찌개,그릇 (약 350ml),90,7.0,6.0,4.0,2.0,700
북엇국,국/탕/찌개,그릇 (약 350ml),110,6.0,12.0,3.0,2.0,750
불고기,육류,인분 (약 200g),380,16.0,30.0,21.0,12.0,850
비빔냉면,면류,그릇 (약 500g),530,102.0,13.0,8.0,18.0,1450
비빔밥,밥류,그릇 (약 400g),580,92.0,20.0,14.0,8.0,1100
삼겹살,육류,인분 (약 200g),650,0.5,30.0,57.0,0.0,250
삼계탕,보양식,그릇 (약 800ml),850,45.0,65.0,44.0,2.0,1300
새우볶음밥,밥류,그릇 (약 350g),590,78.0,18.0,23.0,4.0,1050
설렁탕,국 및 탕류,1그릇 (500g),205,22.15,13.25,6.2,0.9,675
소세지볶음,반찬류,접시 (약 150g),340,14.0,12.0,26.0,9.0,820
수제비,면류,그릇 (약 600ml),420,80.0,11.0,6.0,3.0,1250
순두부찌개,국/탕/찌개,그릇 (약 400ml),250,12.0,18.0,15.0,3.0,1500
시래기국,국/탕/찌개,그릇 (약 350ml),95,10.0,5.0,4.0,3.0,680
알밥,밥류,그릇 (약 350g),550,82.0,20.0,15.0,4.0,980
양념치킨,치킨/패스트푸드,인분 (약 300g),750,55.0,40.0,42.0,25.0,1300
육개장,국/탕/찌개,그릇 (약 400ml),320,18.0,22.0,18.0,5.0,1500
잔치국수,면류,그릇 (약 600ml),380,75.0,12.0,4.0,3.0,1150
잡곡밥,밥류,공기 (약 210g),310,68.0,7.0,1.5,0.5,5
장어구이,생선/보양식,인분 (약 200g),580,10.0,32.0,44.0,8.0,620
제육볶음,육류,인분 (약 250g),520,22.0,35.0,32.0,14.0,1150
조개구이,해산물,접시 (약 200g),250,8.0,35.0,8.0,2.0,900
조기구이,생선류,마리 (약 100g),180,0.0,22.0,10.0,0.0,350
주꾸미볶음,해산물,인분 (약 250g),380,20.0,38.0,16.0,12.0,1200
짜장면,면류,그릇 (약 600g),750,110.0,18.0,26.0,15.0,1550
짬뽕,면류,그릇 (약 700ml),680,95.0,28.0,20.0,7.0,2000
칼국수,면류,그릇 (약 600ml),490,88.0,15.0,10.0,3.0,1380
콩나물국,국/탕/찌개,그릇 (약 350ml),45,5.0,4.0,1.0,1.0,580
파전,분식/전,장 (약 150g),360,48.0,9.0,15.0,4.0,820
피자,패스트푸드,조각 (약 120g),298,32.0,13.0,13.5,3.8,680
황태구이,생선류,접시 (약 150g),220,12.0,28.0,7.0,6.0,800
후라이드치킨,치킨/패스트푸드,인분 (약 300g),680,25.0,42.0,45.0,1.0,1100
훈제오리,육류,인분 (약 200g),520,2.0,28.0,43.0,1.0,750
