food_code,food_name,food_category,representative_food,serving_basis,calories,carbs,protein,fat,sugar,sodium,source
D504-212000000-0001,흰죽,죽 및 스프류,흰죽,100ml,64,13.49,1.2,0.28,0.09,130,식품의약품안전처
D104-198000000-0001,흑임자죽,죽 및 스프류,흑임자죽,100g,61,3.64,1.1,4.73,0.75,159,식품의약품안전처
D404-198000000-0001,흑임자 죽,죽 및 스프류,흑임자 죽,100ml,106,16.36,2.2,3.37,0.15,130,식품의약품안전처
D501-052470000-0001,흑미밥_찹쌀,밥류,흑미밥,100ml,118,25.8,2.14,0.16,0.02,2,식품의약품안전처
D701-052000000-0001,흑미밥,밥류,흑미밥,100ml,118,25.85,2.12,0.18,0.03,3,식품의약품안전처
D306-303180000-0001,훠궈_소고기,찌개 및 전골류,훠궈,100g,93,6.83,4.81,5.11,1.13,390,식품의약품안전처
D308-406000000-0001,훈제오리,구이류,훈제오리,100g,319,4.83,17.22,25.63,0.11,488,식품의약품안전처
D202-127000000-0014,효모빵_착한빵식통밀빵,빵 및 과자류,효모빵,100g,292,,8.57,,11.84,380,식품의약품안전처
D202-127000000-0005,효모빵_쫄깃한 천연효모빵 (미니),빵 및 과자류,효모빵,100g,269,,9.44,,2.78,428,식품의약품안전처
D202-127000000-0004,효모빵_쫄깃한 천연효모빵 (H),빵 및 과자류,효모빵,100g,266,,9.57,,3.72,420,식품의약품안전처
D202-127000000-0006,효모빵_쫄깃한 천연효모빵,빵 및 과자류,효모빵,100g,265,,9.6,,3.47,421,식품의약품안전처
D202-127000000-0013,효모빵_쫄깃담백 토종효모빵(1/2),빵 및 과자류,효모빵,100g,266,,9.66,,3.45,421,식품의약품안전처
D202-127000000-0010,효모빵_쫄깃담백 토종효모빵 (H),빵 및 과자류,효모빵,100g,266,48.97,9.66,3.45,3.45,421,식품의약품안전처
D202-127000000-0012,효모빵_쫄깃담백 토종효모빵,빵 및 과자류,효모빵,100g,266,,9.65,,3.45,421,식품의약품안전처
